name	version	os	arch	format	member	sha256	url
go	1.27.0	darwin	amd64	go-tar.gz	go	d3314e25496e4381d71a5c51d2907e7af655d199f6780b549f015bd85fef4986	https://go.dev/dl/go1.27.0.darwin-amd64.tar.gz
go	1.27.0	darwin	arm64	go-tar.gz	go	90493b3bbd5e10f91d12153198bf1994fd756399b4fec93b49b0c6e2acdeeb3e	https://go.dev/dl/go1.27.0.darwin-arm64.tar.gz
go	1.27.0	linux	amd64	go-tar.gz	go	675c26c449cbb18fc24b74650de1eabbae6e16f64326fd85a283fb3b58280685	https://go.dev/dl/go1.27.0.linux-amd64.tar.gz
go	1.27.0	linux	arm64	go-tar.gz	go	51798d2c42d0e1c6ed7fd9f48728b4193abac9e8aad6dbac2fe96a81f5909bda	https://go.dev/dl/go1.27.0.linux-arm64.tar.gz
golangci-lint	2.13.2	darwin	amd64	tar.gz	golangci-lint-2.13.2-darwin-amd64/golangci-lint	8a13aaf9cbbb1dee52824e862cf0d0720e5bb97c1f4260d1e51623a09492b57b	https://github.com/golangci/golangci-lint/releases/download/v2.13.2/golangci-lint-2.13.2-darwin-amd64.tar.gz
golangci-lint	2.13.2	darwin	arm64	tar.gz	golangci-lint-2.13.2-darwin-arm64/golangci-lint	f4bf83f0b64f055c42b28fc9a38861839f69c096e61c788e72dfaae412011789	https://github.com/golangci/golangci-lint/releases/download/v2.13.2/golangci-lint-2.13.2-darwin-arm64.tar.gz
golangci-lint	2.13.2	linux	amd64	tar.gz	golangci-lint-2.13.2-linux-amd64/golangci-lint	2277d43b98ec0054280f2ac26b53268bae97682444678a59a657dd565da021d6	https://github.com/golangci/golangci-lint/releases/download/v2.13.2/golangci-lint-2.13.2-linux-amd64.tar.gz
golangci-lint	2.13.2	linux	arm64	tar.gz	golangci-lint-2.13.2-linux-arm64/golangci-lint	a2a4e0065aa41be71f7c5ac90f271b61751331e5d04314e62afe4027855f0893	https://github.com/golangci/golangci-lint/releases/download/v2.13.2/golangci-lint-2.13.2-linux-arm64.tar.gz
sqlc	1.31.1	darwin	amd64	tar.gz	sqlc	c5af76772e3785d21663a62697056b383f07629979b1bd25b93872e73dbd519b	https://github.com/sqlc-dev/sqlc/releases/download/v1.31.1/sqlc_1.31.1_darwin_amd64.tar.gz
sqlc	1.31.1	darwin	arm64	tar.gz	sqlc	21602158c99eb1f2bae197a66abfb1941d1e9e50b23125bb193349c6b1acc71e	https://github.com/sqlc-dev/sqlc/releases/download/v1.31.1/sqlc_1.31.1_darwin_arm64.tar.gz
sqlc	1.31.1	linux	amd64	tar.gz	sqlc	497ae4fcdfa64c5b0c311ffe4c2bd991e43991e82e5367792ed78bc2dca27354	https://github.com/sqlc-dev/sqlc/releases/download/v1.31.1/sqlc_1.31.1_linux_amd64.tar.gz
sqlc	1.31.1	linux	arm64	tar.gz	sqlc	b7cae247740d0c51a1e657479e5b2d21e6fef428f596682a01bc55bf4ab8a23d	https://github.com/sqlc-dev/sqlc/releases/download/v1.31.1/sqlc_1.31.1_linux_arm64.tar.gz
goose	3.27.3	darwin	amd64	raw	-	bdaaddcaf1bce02a31a580242db507cfec35354ea14fb9e4a6c6aea1031422d5	https://github.com/pressly/goose/releases/download/v3.27.3/goose_darwin_x86_64
goose	3.27.3	darwin	arm64	raw	-	86bf41d1a81e2eabc0f621dc020303513364d9cad9e3d1d4987fdfcf7dd8f4ae	https://github.com/pressly/goose/releases/download/v3.27.3/goose_darwin_arm64
goose	3.27.3	linux	amd64	raw	-	ca18112e2438b3ad608af9a5938beafd01fa36a4a19a3edbe4f29226ca5c8533	https://github.com/pressly/goose/releases/download/v3.27.3/goose_linux_x86_64
goose	3.27.3	linux	arm64	raw	-	a774a3ed3381352a795b2a019b604792965546f6f47b34b59896288d97bf4809	https://github.com/pressly/goose/releases/download/v3.27.3/goose_linux_arm64
